City,District,Ward,Street,address,area_value,price_value_trieu,price_per_m2_final
Hà Nội,Quận Cầu Giấy,Phường Yên Hòa,Hẻm 3 Đường Nguyễn Khang,"Đường Nguyễn Khang, Phường Yên Hòa, Quận Cầu Giấy, Hà Nội",200.0,40.0,200000.0
Hà Nội,Quận Đống Đa,Phường Ô Chợ Dừa,Phố Hào Nam,"Phố Hào Nam, Phường Ô Chợ Dừa, Quận Đống Đa, Hà Nội",210.0,40.0,190476.19047619047
Hà Nội,Quận Đống Đa,Phường Láng Thượng,Phố Chùa Láng,"Phố Chùa Láng, Phường Láng Thượng, Quận Đống Đa, Hà Nội",630.0,120.0,190476.19047619047
Khánh Hòa,Nha Trang,Phường Phước Hải,Đường Tố Hữu,"Đường Tố Hữu, Phường Phước Hải, Thành phố Nha Trang, Khánh Hòa",135.0,25.0,185185.1851851852
Khánh Hòa,Nha Trang,Phường Phước Hải,Đường Tố Hữu,"Đường Tố Hữu, Phường Phước Hải, Thành phố Nha Trang, Khánh Hòa",135.0,21.999999999999996,162962.96296296295
Tây Ninh,Huyện Dương Minh Châu,Xã Chà Là,ĐT.784,"Đường ĐT 784, Xã Chà Là, Huyện Dương Minh Châu, Tây Ninh",90.0,3.5,38888.88888888889
Hà Nội,Quận Ba Đình,Phường Giảng Võ,Đường Giảng Võ,"Đường Giảng Võ, Phường Giảng Võ, Quận Ba Đình, Hà Nội",50.0,7.0,140000.0
Hà Nội,Quận Nam Từ Liêm,Phường Cầu Diễn,Phố Hàm Nghi,"Đường Hàm Nghi, Phường Cầu Diễn, Quận Nam Từ Liêm, Hà Nội",700.0,184.99999999999997,264285.71428571426
Hà Nội,Quận Thanh Xuân,Phường Khương Mai,Phố Lê Trọng Tấn,"Phố Lê Trọng Tấn, Phường Khương Mai, Quận Thanh Xuân, Hà Nội",100.0,300.0,3000000.0
Hà Nội,Quận Cầu Giấy,Phường Yên Hòa,Phố Dương Đình Nghệ,"Phố Dương Đình Nghệ, Phường Yên Hòa, Quận Cầu Giấy, Hà Nội",200.0,580.0,2900000.0
Hà Nội,Quận Hoàng Mai,Phường Tân Mai,Đường Bờ Sông Sét,"Đường Sông Sét, Phường Tân Mai, Quận Hoàng Mai, Hà Nội",120.0,20.0,166666.66666666666
Hà Nội,Huyện Thanh Trì,Xã Tứ Hiệp,Đường Tứ Hiệp,"Đường Tứ Hiệp, Xã Tứ Hiệp, Huyện Thanh Trì, Hà Nội",30.0,7.0,233333.33333333334
Hồ Chí Minh,Quận 7,Phường Tân Phong,Đường Phạm Thái Bường,"Đường Phạm Thái Bường, Phường Tân Phong, Quận 7, Hồ Chí Minh",98.0,30.0,306122.44897959183
Rhône,Givors,,Allée Hô Chi Minh,"Quận 2, Hồ Chí Minh",280.0,110.0,392857.14285714284
Hà Nội,Huyện Đông Anh,Xã Đông Hội,Cầu Đông Hội,"Đường Đông Hội, Xã Đông Hội, Huyện Đông Anh, Hà Nội",150.0,21.0,140000.0
Hà Nội,Quận Cầu Giấy,Phường Dịch Vọng,Đường Tô Hiệu,"Phố Tô Hiệu, Phường Dịch Vọng Hậu, Quận Cầu Giấy, Hà Nội",100.0,2.0,20000.0
Bà Rịa-Vũng Tàu,Vũng Tàu,Phường Thắng Nhì,Đường Trần Phú,"Đường Trần Phú, Phường 2, Thành phố Vũng Tàu, Bà Rịa Vũng Tàu",300.0,50.0,166666.66666666666
Hồ Chí Minh,Quận Tân Phú,Phường Tân Quý,Đường Tân Hương,"Đường Tân Hương, Phường Tân Quý, Quận Tân Phú, Hồ Chí Minh",300.0,55.0,183333.33333333334
Hà Nội,Quận Cầu Giấy,Phường Dịch Vọng Hậu,Phố Duy Tân,"Phố Duy Tân, Phường Dịch Vọng, Quận Cầu Giấy, Hà Nội",105.0,39.0,371428.5714285714
Hà Nội,Quận Cầu Giấy,Phường Dịch Vọng,Phố Trần Quý Kiên,"Phố Trần Quý Kiên, Phường Dịch Vọng, Quận Cầu Giấy, Hà Nội",40.0,11.5,287500.0
Hồ Chí Minh,Thủ Đức,Phường An Phú,Đường Xa Lộ Hà Nội,"Đường Xa Lộ Hà Nội, Phường An Phú, Thành phố Thủ Đức, Hồ Chí Minh",232.0,75.0,323275.8620689655
Hà Nội,Quận Hoàn Kiếm,Phường Phan Chu Trinh,Phố Phan Chu Trinh,"Phố Phan Chu Trinh, Phường Phan Chu Trinh, Quận Hoàn Kiếm, Hà Nội",200.0,100.0,500000.0
Bình Thuận,Phan Thiết,Phường Phú Thủy,Đường Trương Hán Siêu,"Đường Trương Hán Siêu, Phường Phú Thủy, Thành phố Phan Thiết, Bình Thuận",150.0,20.0,133333.33333333334
Hà Nội,Quận Nam Từ Liêm,Phường Mỹ Đình 1,Đường Đình Thôn,"Đường Đình Thôn, Phường Mỹ Đình 1, Quận Nam Từ Liêm, Hà Nội",110.0,75.0,681818.1818181818
Hà Nội,Quận Nam Từ Liêm,Phường Mỹ Đình 2,Đường Lê Đức Thọ,"Đường Lê Đức Thọ, Phường Mỹ Đình 2, Quận Nam Từ Liêm, Hà Nội",700.0,360.0,514285.71428571426
