City,District,Ward,area_value,price_value_trieu,price_per_m2_final
Hà Nội,Tây Hồ,Xuân La,400.0,70.0,175000.0
Hà Nội,Cầu Giấy,Trung Hòa,100.0,85.0,850000.0
Hà Nội,Đống Đa,Trung Liệt,300.0,125.0,416666.6666666667
Hà Nội,Bắc Từ Liêm,Phúc Diễn,800.0,99.0,123750.0
Hà Nội,Bắc Từ Liêm,Xuân Tảo,320.0,95.0,296875.0
Hà Nội,Hai Bà Trưng,Nguyễn Du,150.0,129.0,860000.0
Hà Nội,Ba Đình,Giảng Võ,175.0,140.0,800000.0
Hà Nội,Hoàn Kiếm,Phan Chu Trinh,1.0,600.0,600000000.0
Hà Nội,Hoàn Kiếm,Cửa Đông,650.0,200.0,307692.3076923077
Hà Nội,Đống Đa,Láng Hạ,700.0,180.0,257142.8571428572
Hà Nội,Hai Bà Trưng,Lê Đại Hành,1.4,400.0,285714285.71428573
Hà Nội,Cầu Giấy,Quan Hoa,2.0,250.0,125000000.0
Hà Nội,Đống Đa,Ô Chợ Dừa,1.5,155.0,103333333.33333331
Hà Nội,Đống Đa,Láng Hạ,1.5,400.0,266666666.66666663
Hà Nội,Tây Hồ,Xuân La,2.0,400.0,200000000.0
Hà Nội,Đống Đa,Láng Hạ,600.0,190.0,316666.6666666667
Hà Nội,Thanh Xuân,Nhân Chính,500.0,90.0,180000.0
Hà Nội,Ba Đình,Đội Cấn,350.0,95.0,271428.5714285714
Hà Nội,Hoàn Kiếm,Phan Chu Trinh,550.0,600.0,1090909.0909090908
Hà Nội,Hai Bà Trưng,Nguyễn Du,2.2,999.0,454090909.09090906
Hà Nội,Hoàn Kiếm,Hàng Bông,500.0,400.0,800000.0
Hà Nội,Cầu Giấy,Trung Hòa,1.0,350.0,350000000.0
Hà Nội,Đống Đa,Phương Mai,500.0,95.0,190000.0
Hà Nội,Cầu Giấy,Nghĩa Đô,300.0,140.0,466666.6666666667
Hà Nội,Hai Bà Trưng,Minh Khai,430.0,155.0,360465.11627906974
Hà Nội,Nam Từ Liêm,Phường Mỹ Đình 2,300.0,145.0,483333.3333333333
Hà Nội,Hà Đông,Mộ Lao,900.0,270.0,300000.0
Hà Nội,Cầu Giấy,Trung Hòa,250.0,99.0,396000.0
Hà Nội,Đống Đa,Trung Liệt,140.0,119.0,850000.0
Hà Nội,Đống Đa,Ngã Tư Sở,250.0,99.0,396000.0
Hà Nội,Đống Đa,Phương Mai,360.0,199.0,552777.7777777778
Hà Nội,Hai Bà Trưng,Nguyễn Du,500.0,210.0,420000.0
Hà Nội,Hai Bà Trưng,Nguyễn Du,450.0,150.0,333333.3333333333
Hà Nội,Hai Bà Trưng,Nguyễn Du,1.0,330.0,330000000.0
Hà Nội,Cầu Giấy,Nghĩa Đô,1.0,260.0,260000000.0
Hà Nội,Hai Bà Trưng,Minh Khai,350.0,199.0,568571.4285714285
Hà Nội,Cầu Giấy,Trung Hòa,1.3,210.0,161538461.53846154
Hà Nội,Cầu Giấy,Dịch Vọng Hậu,950.0,170.0,178947.36842105264
Nam Định,Nam Định,Vị Hoàng,32.0,15.0,468750.0
Hà Nội,Hoàn Kiếm,Hàng Mã,32.0,50.0,1562500.0
Đà Nẵng,Thanh Khê,Thạc Gián,50.0,20.0,400000.0
Hồ Chí Minh,Quận 4,Phường 3,81.0,60.00000000000001,740740.7407407408
Đắk Lắk,Buôn Ma Thuột,Tân Lợi,290.0,190.0,655172.4137931034
Hồ Chí Minh,Tân Bình,Phường 15,100.0,18.0,180000.0
Hồ Chí Minh,Tân Bình,Phường 12,80.0,28.0,350000.0
Nam Định,Nam Định,Lộc Vượng,60.0,9.0,150000.0
Hồ Chí Minh,Tân Bình,Phường 9,132.0,35.0,265151.51515151514
Bà Rịa Vũng Tàu,Vũng Tàu,Phường 7,245.0,38.0,155102.04081632654
Nghệ An,Vinh,Quán Bàu,100.0,13.0,130000.0
Đà Nẵng,Hải Châu,Hòa Thuận Đông,90.0,10.0,111111.11111111112
Đà Nẵng,Ngũ Hành Sơn,Khuê Mỹ,100.0,24.0,240000.0
Hà Nội,Hai Bà Trưng,Lê Đại Hành,80.0,60.0,750000.0
Đà Nẵng,Ngũ Hành Sơn,Hòa Hải,100.0,20.0,200000.0
Hà Nội,Hai Bà Trưng,Trương Định,122.0,35.0,286885.24590163934
Đà Nẵng,Hải Châu,Phường Hải Châu 1,400.0,40.0,100000.0
Đà Nẵng,Liên Chiểu,Hòa Minh,70.0,3.0,42857.142857142855
Hồ Chí Minh,Quận 10,Phường 14,230.0,140.0,608695.6521739131
Đà Nẵng,Hải Châu,Hòa Thuận Tây,74.0,12.0,162162.16216216216
Đà Nẵng,Ngũ Hành Sơn,Khuê Mỹ,100.0,14.0,140000.0
Hà Nội,Cầu Giấy,Yên Hòa,272.0,220.0,808823.5294117647
Khánh Hòa,Nha Trang,Phước Long,125.0,30.0,240000.0
Khánh Hòa,Nha Trang,Phước Hải,100.0,25.0,250000.0
Khánh Hòa,Nha Trang,Phước Hải,200.0,40.0,200000.0
Khánh Hòa,Nha Trang,Phước Long,250.0,90.0,360000.0
Khánh Hòa,Nha Trang,Phước Long,300.0,90.0,300000.0
Khánh Hòa,Nha Trang,Phước Long,110.0,20.0,181818.18181818185
Thừa Thiên Huế,Huế,Thủy Xuân,130.0,3.0,23076.92307692308
Đà Nẵng,Sơn Trà,Mân Thái,160.0,20.0,125000.0
Hồ Chí Minh,Quận 7,Tân Kiểng,253.0,20.0,79051.38339920949
Hồ Chí Minh,Quận 7,Tân Quy,263.0,23.0,87452.47148288973
Hồ Chí Minh,Quận 7,Tân Phong,289.0,25.0,86505.19031141869
Hồ Chí Minh,Quận 7,Tân Hưng,114.0,35.0,307017.5438596491
Hồ Chí Minh,Quận 7,Tân Phong,240.0,30.0,125000.0
Hồ Chí Minh,Quận 7,Tân Quy,230.0,26.0,113043.47826086955
Hồ Chí Minh,Quận 7,Tân Quy,312.0,35.0,112179.48717948716
Hà Nội,Hà Đông,Hà Cầu,120.0,85.0,708333.3333333334
Hà Nội,Ba Đình,Trúc Bạch,102.0,60.00000000000001,588235.2941176471
Hồ Chí Minh,Quận 3,Võ Thị Sáu,100.0,190.0,1900000.0
Hà Nội,Hà Đông,Dương Nội,1.2,60.0,50000000.0
Hà Nội,Hà Đông,Dương Nội,120.0,18.0,150000.0
Vĩnh Phúc,Vĩnh Yên,Liên Bảo,110.0,10.0,90909.09090909093
Vĩnh Phúc,Vĩnh Yên,Liên Bảo,88.0,45.0,511363.6363636364
Hà Nội,Thanh Xuân,Khương Mai,125.0,65.0,520000.0
Hà Nội,Hai Bà Trưng,Phạm Đình Hổ,100.0,75.0,750000.0
Hà Nội,Hai Bà Trưng,Nguyễn Du,65.0,38.0,584615.3846153846
Hà Nội,Ba Đình,Cống Vị,55.0,40.0,727272.7272727273
Hà Nội,Hai Bà Trưng,Lê Đại Hành,70.0,35.0,500000.0
Hà Nội,Hoàn Kiếm,Hàng Mã,60.0,32.00000000000001,533333.3333333334
Hà Nội,Đống Đa,Nam Đồng,70.0,32.0,457142.8571428572
Hà Nội,Hai Bà Trưng,Phố Huế,80.0,50.0,625000.0
Hà Nội,Đống Đa,Nam Đồng,210.0,100.0,476190.4761904762
Hà Nội,Đống Đa,Láng Thượng,60.0,35.0,583333.3333333334
Hà Nội,Hai Bà Trưng,Nguyễn Du,70.0,45.0,642857.1428571428
Hà Nội,Đống Đa,Trung Liệt,70.0,38.0,542857.1428571428
Hà Nội,Ba Đình,Giảng Võ,60.0,30.0,500000.0
Hà Nội,Hai Bà Trưng,Minh Khai,70.0,55.0,785714.2857142857
Hà Nội,Hai Bà Trưng,Cầu Dền,70.0,32.0,457142.8571428572
Hà Nội,Đống Đa,Ô Chợ Dừa,70.0,45.0,642857.1428571428
Hà Nội,Hoàn Kiếm,Trần Hưng Đạo,40.0,35.0,875000.0
Hà Nội,Hai Bà Trưng,Lê Đại Hành,46.0,40.0,869565.2173913043
Hà Nội,Hai Bà Trưng,Nguyễn Du,40.0,30.0,750000.0
Hà Nội,Hai Bà Trưng,Bách Khoa,60.0,45.0,750000.0
Hà Nội,Đống Đa,Nam Đồng,65.0,65.0,1000000.0
Hà Nội,Đống Đa,Ô Chợ Dừa,60.0,52.0,866666.6666666666
Hà Nội,Đống Đa,Láng Hạ,65.0,30.0,461538.4615384616
Hà Nội,Hai Bà Trưng,Minh Khai,60.0,30.0,500000.0
Vĩnh Phúc,Vĩnh Yên,Liên Bảo,100.0,15.0,150000.0
Vĩnh Phúc,Vĩnh Yên,Khai Quang,104.0,14.999999999999998,144230.76923076922
Đà Nẵng,Thanh Khê,Chính Gián,168.0,120.0,714285.7142857143
Vĩnh Phúc,Vĩnh Yên,Khai Quang,150.0,12.0,80000.0
Hồ Chí Minh,Quận 5,Phường 1,50.0,35.0,700000.0
Hồ Chí Minh,Quận 6,Phường 10,80.0,24.0,300000.0
Hồ Chí Minh,Tân Bình,Phường 2,180.0,39.0,216666.66666666663
Hồ Chí Minh,Tân Phú,Tân Sơn Nhì,200.0,30.0,150000.0
Hồ Chí Minh,Bình Thạnh,Phường 6,130.0,35.0,269230.76923076925
Hồ Chí Minh,Tân Phú,Tân Sơn Nhì,200.0,48.0,240000.0
Hồ Chí Minh,Tân Phú,Phú Trung,285.0,85.0,298245.6140350877
Hồ Chí Minh,Bình Tân,Bình Hưng Hòa B,130.0,40.0,307692.3076923077
Hồ Chí Minh,Phú Nhuận,Phường 2,150.0,110.0,733333.3333333334
Hồ Chí Minh,Quận 11,Phường 15,700.0,125.0,178571.42857142858
Hồ Chí Minh,Bình Tân,Bình Hưng Hòa B,420.0,60.00000000000001,142857.14285714287
Hồ Chí Minh,Quận 4,Phường 13,300.0,65.0,216666.66666666663
Hồ Chí Minh,Tân Bình,Phường 10,136.0,50.0,367647.0588235294
Hồ Chí Minh,Tân Bình,Phường 11,200.0,120.0,600000.0
Hồ Chí Minh,Tân Phú,Sơn Kỳ,150.0,25.0,166666.66666666666
Hồ Chí Minh,Tân Bình,Phường 6,280.0,139.0,496428.5714285714
Hồ Chí Minh,Tân Bình,Phường 4,112.0,95.0,848214.2857142857
Hồ Chí Minh,Quận 5,Phường 1,100.0,120.0,1200000.0
Hồ Chí Minh,Bình Thạnh,Phường 1,200.0,160.0,800000.0
Hồ Chí Minh,Bình Tân,Bình Trị Đông A,460.0,100.0,217391.30434782608
Hồ Chí Minh,Tân Phú,Tân Thới Hòa,675.0,115.0,170370.37037037036
Hồ Chí Minh,Quận 6,Phường 5,80.0,50.0,625000.0
Hồ Chí Minh,Gò Vấp,Phường 7,300.0,95.0,316666.6666666667
Hồ Chí Minh,Bình Thạnh,Phường 12,200.0,120.0,600000.0
Hồ Chí Minh,Quận 10,Phường 15,380.0,110.0,289473.6842105263
Hồ Chí Minh,Tân Bình,Phường 11,200.0,139.0,695000.0
